Feature Selection,Feature Set,Model,MSE,MAE,R2,Execution Time
RFE,Top 5,Linear Regression,504593164.5676353,15111.970385721717,0.03236580469602546,0 days 00:00:00.045797
RFE,Top 5,Lasso,504593163.4014599,15111.969514072985,0.032365806932344254,0 days 00:00:00.027207
RFE,Top 5,LightGBM,67106028.95118286,5052.3231556837245,0.8713139755274681,0 days 00:00:00.462674
RFE,Top 5,XGBoost,38334636.59654303,3624.575386426588,0.926487499553922,0 days 00:00:00.671716
RFE,Top 5,CatBoost,45866948.04481626,4105.131128987207,0.9120431458867969,0 days 00:00:23.466325
RFE,Top 10,Linear Regression,502620286.6685091,15078.816618073492,0.0361490983519942,0 days 00:00:00.061645
RFE,Top 10,Lasso,502628510.24440587,15079.100807774535,0.03613332839353234,0 days 00:00:00.062231
RFE,Top 10,LightGBM,69505917.65301491,5167.721435631181,0.8667118236635875,0 days 00:00:00.541928
RFE,Top 10,XGBoost,41580903.32087045,3841.888558733158,0.9202622890078612,0 days 00:00:00.593160
RFE,Top 10,CatBoost,45967482.521025516,4118.340685784563,0.9118503557266876,0 days 00:00:24.814502
RFE,Top 15,Linear Regression,501595484.07999045,15054.225128279088,0.038114313296862545,0 days 00:00:00.102913
RFE,Top 15,Lasso,501999972.4600012,15063.862624160547,0.03733864526252262,0 days 00:00:02.946180
RFE,Top 15,LightGBM,67579293.85762757,5107.278362383702,0.8704064180354723,0 days 00:00:00.749894
RFE,Top 15,XGBoost,42939682.187112294,3858.4572202199693,0.9176566237171738,0 days 00:00:00.728791
RFE,Top 15,CatBoost,46911464.51078664,4137.674502102273,0.9100401265813391,0 days 00:00:24.370038
Lasso,Top 5,Linear Regression,504593164.5676353,15111.970385721717,0.03236580469602546,0 days 00:00:00.069170
Lasso,Top 5,Lasso,504593163.4014599,15111.969514072985,0.032365806932344254,0 days 00:00:00.045423
Lasso,Top 5,LightGBM,67106028.95118286,5052.3231556837245,0.8713139755274681,0 days 00:00:00.441762
Lasso,Top 5,XGBoost,38334636.59654303,3624.575386426588,0.926487499553922,0 days 00:00:00.476543
Lasso,Top 5,CatBoost,45866948.04481626,4105.131128987207,0.9120431458867969,0 days 00:00:22.464950
Lasso,Top 10,Linear Regression,502620286.6685091,15078.816618073492,0.0361490983519942,0 days 00:00:00.052640
Lasso,Top 10,Lasso,502628510.24440587,15079.100807774535,0.03613332839353234,0 days 00:00:00.062536
Lasso,Top 10,LightGBM,69505917.65301491,5167.721435631181,0.8667118236635875,0 days 00:00:00.564551
Lasso,Top 10,XGBoost,41580903.32087045,3841.888558733158,0.9202622890078612,0 days 00:00:00.578563
Lasso,Top 10,CatBoost,45967482.521025516,4118.340685784563,0.9118503557266876,0 days 00:00:23.391631
Lasso,Top 15,Linear Regression,501595484.07999045,15054.225128279088,0.038114313296862545,0 days 00:00:00.086537
Lasso,Top 15,Lasso,501999972.4600012,15063.862624160547,0.03733864526252262,0 days 00:00:02.585482
Lasso,Top 15,LightGBM,67579293.85762757,5107.278362383702,0.8704064180354723,0 days 00:00:00.685150
Lasso,Top 15,XGBoost,42939682.187112294,3858.4572202199693,0.9176566237171738,0 days 00:00:00.706543
Lasso,Top 15,CatBoost,46911464.51078664,4137.674502102273,0.9100401265813391,0 days 00:00:24.665399
